country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,40.26116,30.04076,297.11,0.37,0.58,2024-10-06,39,N20,VIIRS,n,2.0NRT,286.12,0.42,N
TUR,40.74947,29.76145,301.93,0.35,0.56,2024-10-06,39,N20,VIIRS,n,2.0NRT,287.67,0.48,N
TUR,40.75546,29.75976,298.87,0.35,0.56,2024-10-06,39,N20,VIIRS,n,2.0NRT,286.98,0.48,N
TUR,40.75797,31.78196,297.1,0.44,0.62,2024-10-06,39,N20,VIIRS,n,2.0NRT,284.64,0.63,N
TUR,40.76477,29.52822,326.17,0.34,0.56,2024-10-06,39,N20,VIIRS,n,2.0NRT,286.19,2.38,N
TUR,41.17345,32.63068,301.37,0.47,0.64,2024-10-06,39,N20,VIIRS,n,2.0NRT,285.28,0.68,N
TUR,41.17429,32.62762,302.22,0.47,0.64,2024-10-06,39,N20,VIIRS,n,2.0NRT,284.38,0.95,N
TUR,41.17886,32.63387,300.02,0.47,0.64,2024-10-06,39,N20,VIIRS,n,2.0NRT,286.43,0.68,N
TUR,41.17963,32.63102,299.19,0.47,0.64,2024-10-06,39,N20,VIIRS,n,2.0NRT,285.46,0.95,N
TUR,41.25359,31.40954,311.83,0.4,0.6,2024-10-06,39,N20,VIIRS,n,2.0NRT,288.47,0.79,N
TUR,41.26795,31.42197,322.69,0.4,0.6,2024-10-06,39,N20,VIIRS,n,2.0NRT,290.52,2.35,N
TUR,38.39133,30.76484,295.76,0.45,0.63,2024-10-06,41,N20,VIIRS,n,2.0NRT,284.22,0.84,N
TUR,38.65867,30.61605,310.51,0.44,0.62,2024-10-06,41,N20,VIIRS,n,2.0NRT,285.75,1.71,N
TUR,39.48327,30.03763,307.94,0.39,0.59,2024-10-06,41,N20,VIIRS,n,2.0NRT,282.4,1.01,N
TUR,39.74405,30.19482,299.71,0.39,0.59,2024-10-06,41,N20,VIIRS,n,2.0NRT,284.19,0.71,N
TUR,40.18469,29.22384,299.86,0.34,0.56,2024-10-06,41,N20,VIIRS,n,2.0NRT,287.2,0.43,N
