country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,36.69537,36.20151,304.24,0.55,0.68,2024-10-07,22,N20,VIIRS,n,2.0NRT,292.08,2.59,N
TUR,36.71651,36.1978,314.94,0.54,0.68,2024-10-07,22,N20,VIIRS,n,2.0NRT,291.12,1.82,N
TUR,36.73285,36.20795,305.61,0.54,0.68,2024-10-07,22,N20,VIIRS,n,2.0NRT,292.41,1.94,N
TUR,36.86938,34.75883,301.96,0.45,0.63,2024-10-07,22,N20,VIIRS,n,2.0NRT,290.31,1.26,N
TUR,37.01575,36.10273,306.48,0.53,0.67,2024-10-07,22,N20,VIIRS,n,2.0NRT,290.64,1.14,N
TUR,37.01651,36.10246,305.4,0.53,0.67,2024-10-07,22,N20,VIIRS,n,2.0NRT,290.41,1.45,N
TUR,37.35179,37.15852,301.89,0.59,0.7,2024-10-07,22,N20,VIIRS,n,2.0NRT,287.72,1.18,N
TUR,37.4204,38.71975,295.58,0.7,0.75,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.58,1.36,N
TUR,37.56284,37.36121,297.17,0.59,0.7,2024-10-07,22,N20,VIIRS,n,2.0NRT,282.15,0.94,N
TUR,37.56437,37.36372,295.46,0.59,0.7,2024-10-07,22,N20,VIIRS,n,2.0NRT,281.74,0.93,N
TUR,37.71218,39.62312,305.81,0.77,0.77,2024-10-07,22,N20,VIIRS,n,2.0NRT,282.19,1.52,N
TUR,37.71371,39.62346,301.14,0.77,0.77,2024-10-07,22,N20,VIIRS,n,2.0NRT,282.27,1.36,N
TUR,37.73806,38.17754,295.72,0.65,0.73,2024-10-07,22,N20,VIIRS,n,2.0NRT,283.73,0.95,N
TUR,37.73972,38.17695,300.62,0.65,0.73,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.12,0.75,N
TUR,37.75072,38.18311,295.11,0.65,0.73,2024-10-07,22,N20,VIIRS,n,2.0NRT,283.69,0.54,N
TUR,37.75237,38.18257,296.59,0.65,0.73,2024-10-07,22,N20,VIIRS,n,2.0NRT,283.37,0.65,N
TUR,37.76781,38.10897,299.55,0.64,0.72,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.49,1.44,N
TUR,37.76869,38.10287,305.67,0.64,0.72,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.46,2.19,N
TUR,37.76991,38.10212,304.22,0.64,0.72,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.32,2.23,N
TUR,37.85414,38.80787,301.81,0.69,0.74,2024-10-07,22,N20,VIIRS,n,2.0NRT,285.22,1.76,N
TUR,37.85779,38.80428,304.27,0.69,0.74,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.23,1.33,N
TUR,37.95127,34.68346,295.56,0.42,0.61,2024-10-07,22,N20,VIIRS,n,2.0NRT,282.37,0.42,N
TUR,38.23485,39.20516,304.33,0.71,0.75,2024-10-07,22,N20,VIIRS,n,2.0NRT,283.54,0.99,N
TUR,38.23693,39.20382,301.2,0.71,0.75,2024-10-07,22,N20,VIIRS,n,2.0NRT,283.18,1.29,N
TUR,38.42557,27.21623,308.67,0.52,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,290.97,2.24,N
TUR,38.45552,38.71887,297.94,0.66,0.73,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.69,1.55,N
TUR,38.45712,38.72061,301.6,0.66,0.73,2024-10-07,22,N20,VIIRS,n,2.0NRT,285.67,1.45,N
TUR,38.57057,36.2023,299.02,0.49,0.65,2024-10-07,22,N20,VIIRS,n,2.0NRT,275.53,1.59,N
TUR,38.57135,36.20541,308.82,0.49,0.65,2024-10-07,22,N20,VIIRS,n,2.0NRT,277.13,1.43,N
TUR,38.66109,30.61796,300.0,0.5,0.49,2024-10-07,22,N20,VIIRS,n,2.0NRT,283.96,1.29,N
TUR,38.73703,26.94598,318.32,0.5,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,294.63,1.62,N
TUR,38.73816,26.94037,302.42,0.5,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,291.68,1.62,N
TUR,38.74037,26.9293,314.2,0.5,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,292.91,2.21,N
TUR,38.74796,26.94956,304.27,0.5,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,288.48,0.67,N
TUR,38.75383,26.93958,301.32,0.5,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,288.2,0.92,N
TUR,38.76257,36.58544,304.01,0.5,0.66,2024-10-07,22,N20,VIIRS,n,2.0NRT,279.35,0.98,N
TUR,39.09291,27.5109,302.7,0.52,0.41,2024-10-07,22,N20,VIIRS,n,2.0NRT,289.85,1.71,N
TUR,39.48316,30.04098,311.01,0.44,0.46,2024-10-07,22,N20,VIIRS,n,2.0NRT,284.65,1.72,N
TUR,39.60814,27.87565,299.19,0.53,0.42,2024-10-07,22,N20,VIIRS,n,2.0NRT,288.58,0.67,N
TUR,39.86575,26.24127,308.69,0.45,0.39,2024-10-07,22,N20,VIIRS,n,2.0NRT,275.02,0.86,N
TUR,40.04577,34.87502,295.19,0.38,0.59,2024-10-07,22,N20,VIIRS,n,2.0NRT,279.76,0.38,N
TUR,40.44155,27.14017,306.59,0.47,0.4,2024-10-07,22,N20,VIIRS,n,2.0NRT,289.07,1.02,N
TUR,41.24519,36.4604,301.62,0.42,0.61,2024-10-07,22,N20,VIIRS,n,2.0NRT,290.01,1.93,N
TUR,41.79901,26.7009,298.2,0.44,0.38,2024-10-07,22,N20,VIIRS,n,2.0NRT,285.14,0.63,N
TUR,36.26534,33.72834,304.52,0.41,0.61,2024-10-07,24,N20,VIIRS,n,2.0NRT,291.14,0.67,N
TUR,36.28069,36.48355,352.55,0.44,0.46,2024-10-07,1004,N20,VIIRS,n,2.0NRT,310.31,11.42,D
TUR,36.593,36.49525,334.3,0.43,0.46,2024-10-07,1004,N20,VIIRS,l,2.0NRT,307.2,2.94,D
TUR,36.6097,36.46691,332.19,0.43,0.46,2024-10-07,1004,N20,VIIRS,l,2.0NRT,306.01,1.41,D
TUR,36.74564,39.7035,342.12,0.46,0.39,2024-10-07,1004,N20,VIIRS,n,2.0NRT,315.05,3.41,D
TUR,36.81739,37.41739,340.76,0.39,0.44,2024-10-07,1004,N20,VIIRS,n,2.0NRT,311.25,3.42,D
TUR,36.8764,39.42902,339.18,0.47,0.4,2024-10-07,1004,N20,VIIRS,n,2.0NRT,312.38,3.37,D
